slot,time,active_pms,total_containers,containers_finished,violations,avg_cpu_util,energy_kwh,power_watts,rl_reward,rl_epsilon,slot_violations,migrations
0,0,1,0,1,0,0.0,0.8333333333333334,100.0,-1.0,0.891,0,0
1,30,1,0,4,0,0.0,0.8333333333333334,100.0,-1.0,0.88209,0,0
2,60,1,0,4,0,0.0,0.8333333333333334,100.0,0.0,0.8732691,0,0
3,90,1,0,4,0,0.0,0.8333333333333334,100.0,0.0,0.8645364090000001,0,0
4,120,1,0,5,0,0.0,0.8333333333333334,100.0,-1.0,0.85589104491,0,0
5,150,1,0,5,0,0.0,0.8333333333333334,100.0,0.0,0.8473321344609,0,0
6,180,1,0,8,0,0.0,0.8333333333333334,100.0,-1.0,0.8388588131162911,0,0
7,210,1,0,8,0,0.0,0.8333333333333334,100.0,0.0,0.8304702249851281,0,0
8,240,1,0,10,0,0.0,0.8333333333333334,100.0,-1.0,0.8221655227352769,0,0
9,270,1,0,12,0,0.0,0.8333333333333334,100.0,-1.0,0.8139438675079241,0,0
10,300,1,0,18,0,0.0,0.8333333333333334,100.0,-1.0,0.8058044288328449,0,0
11,330,1,0,23,0,0.0,0.8333333333333334,100.0,-1.0,0.7977463845445164,0,0
12,360,1,0,29,0,0.0,0.8333333333333334,100.0,-1.0,0.7897689206990712,0,0
13,390,1,0,31,0,0.0,0.8333333333333334,100.0,-1.0,0.7818712314920805,0,0
14,420,1,0,37,0,0.0,0.8333333333333334,100.0,-1.0,0.7740525191771597,0,0
15,450,1,0,42,0,0.0,0.8333333333333334,100.0,-1.0,0.7663119939853881,0,0
16,480,1,0,46,0,0.0,0.8333333333333334,100.0,-1.0,0.7586488740455342,0,0
17,510,1,0,53,0,0.0,0.8333333333333334,100.0,-1.0,0.7510623853050789,0,0
18,540,1,0,57,0,0.0,0.8333333333333334,100.0,-1.0,0.7435517614520281,0,0
19,570,1,0,58,0,0.0,0.8333333333333334,100.0,-1.0,0.7361162438375077,0,0
20,600,1,0,58,0,0.0,0.8333333333333334,100.0,0.0,0.7287550813991327,0,0
21,630,1,0,63,0,0.0,0.8333333333333334,100.0,-1.0,0.7214675305851413,0,0
22,660,1,0,67,0,0.0,0.8333333333333334,100.0,-1.0,0.7142528552792899,0,0
23,690,1,0,70,0,0.0,0.8333333333333334,100.0,-1.0,0.707110326726497,0,0
24,720,1,0,70,0,0.0,0.8333333333333334,100.0,0.0,0.700039223459232,0,0
25,750,1,0,76,0,0.0,0.8333333333333334,100.0,-1.0,0.6930388312246396,0,0
26,780,1,0,76,0,0.0,0.8333333333333334,100.0,0.0,0.6861084429123933,0,0
27,810,1,0,78,0,0.0,0.8333333333333334,100.0,-1.0,0.6792473584832693,0,0
